2024-12-07 19:46:41,064 INFO    MainThread:17360 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-12-07 19:46:41,065 INFO    MainThread:17360 [wandb_setup.py:_flush():79] Configure stats pid to 17360
2024-12-07 19:46:41,065 INFO    MainThread:17360 [wandb_setup.py:_flush():79] Loading settings from C:\Users\abia0\.config\wandb\settings
2024-12-07 19:46:41,065 INFO    MainThread:17360 [wandb_setup.py:_flush():79] Loading settings from C:\Users\abia0\OneDrive\햞ea de Trabalho\Projetos\Faculdade\topicos_especiais\Effective-MLops\wandb\settings
2024-12-07 19:46:41,065 INFO    MainThread:17360 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'root_dir': 'C:\\Users\\abia0\\OneDrive\\햞ea de Trabalho\\Projetos\\Faculdade\\topicos_especiais\\Effective-MLops', 'entity': 'abiapegado014-ufrn', 'project': 'mlops-course-assignment', 'run_id': '0yu9z71y', 'sweep_id': 'adgdm0cu', 'sweep_param_path': 'C:\\Users\\abia0\\OneDrive\\햞ea de Trabalho\\Projetos\\Faculdade\\topicos_especiais\\Effective-MLops\\wandb\\sweep-adgdm0cu\\config-0yu9z71y.yaml', '_require_legacy_service': 'true'}
2024-12-07 19:46:41,067 INFO    MainThread:17360 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-12-07 19:46:41,067 INFO    MainThread:17360 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'Effective-MLops\\train.py', 'program_abspath': 'C:\\Users\\abia0\\OneDrive\\햞ea de Trabalho\\Projetos\\Faculdade\\topicos_especiais\\Effective-MLops\\train.py', 'program': 'C:\\Users\\abia0\\OneDrive\\햞ea de Trabalho\\Projetos\\Faculdade\\topicos_especiais\\Effective-MLops\\train.py'}
2024-12-07 19:46:41,067 INFO    MainThread:17360 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-12-07 19:46:41,067 INFO    MainThread:17360 [wandb_init.py:_log_setup():533] Logging user logs to C:\Users\abia0\OneDrive\햞ea de Trabalho\Projetos\Faculdade\topicos_especiais\Effective-MLops\wandb\run-20241207_194641-0yu9z71y\logs\debug.log
2024-12-07 19:46:41,068 INFO    MainThread:17360 [wandb_init.py:_log_setup():534] Logging internal logs to C:\Users\abia0\OneDrive\햞ea de Trabalho\Projetos\Faculdade\topicos_especiais\Effective-MLops\wandb\run-20241207_194641-0yu9z71y\logs\debug-internal.log
2024-12-07 19:46:41,068 INFO    MainThread:17360 [wandb_init.py:init():619] calling init triggers
2024-12-07 19:46:41,068 INFO    MainThread:17360 [wandb_init.py:init():626] wandb.init called with sweep_config: {'class_weight': 'None', 'log_preds': False, 'max_iter': 30, 'random_state': 42, 'solver': 'lbfgs'}
config: {'project': 'mlops-course-assignment', 'entity': None, 'bdd_classes': {0: 'preg', 1: 'plas', 2: 'pres', 3: 'skin', 4: 'insu', 5: 'mass', 6: 'pedi', 7: 'age', 8: 'classe'}, 'raw_data_at': 'diabetes', 'processed_data_at': 'diabetes_split', 'log_preds': True, 'job_type': 'train', 'framework': 'sklearn', 'seed': 42}
2024-12-07 19:46:41,068 INFO    MainThread:17360 [wandb_init.py:init():669] starting backend
2024-12-07 19:46:41,068 INFO    MainThread:17360 [wandb_init.py:init():673] sending inform_init request
2024-12-07 19:46:41,082 INFO    MainThread:17360 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-12-07 19:46:41,084 INFO    MainThread:17360 [wandb_init.py:init():686] backend started and connected
2024-12-07 19:46:41,104 INFO    MainThread:17360 [wandb_run.py:_config_callback():1387] config_cb None None {'class_weight': 'None', 'log_preds': False, 'max_iter': 30, 'random_state': 42, 'solver': 'lbfgs'}
2024-12-07 19:46:41,105 INFO    MainThread:17360 [wandb_init.py:init():781] updated telemetry
2024-12-07 19:46:41,106 INFO    MainThread:17360 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-12-07 19:46:41,664 INFO    MainThread:17360 [wandb_init.py:init():867] starting run threads in backend
2024-12-07 19:46:42,049 INFO    MainThread:17360 [wandb_run.py:_console_start():2456] atexit reg
2024-12-07 19:46:42,049 INFO    MainThread:17360 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-12-07 19:46:42,049 INFO    MainThread:17360 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-12-07 19:46:42,049 INFO    MainThread:17360 [wandb_run.py:_redirect():2395] Redirects installed.
2024-12-07 19:46:42,055 INFO    MainThread:17360 [wandb_init.py:init():911] run started, returning control to user process
2024-12-07 19:46:51,047 WARNING MsgRouterThr:17360 [router.py:message_loop():75] message_loop has been closed
